favorite_count,retweet_count,tweet_id
8900,2231,812466873996607488
15224,4252,812372279581671427
8102,1647,811985624773361665
8429,1884,811744202451197953
6215,872,811647686436880384
14265,3650,811627233043480576
23302,7444,811386762094317568
5927,1655,810984652412424192
10093,2090,810896069567610880
12192,3057,810657578271330305
39640,13369,810284430598270976
16380,3901,810254108431155201
17250,4521,809920764300447744
0,5711,809808892968534016
7727,1696,809448704142938112
22246,6554,809220051211603969
14685,4046,809084759137812480
11271,3536,808838249661788160
8784,2509,808733504066486276
12595,3007,808501579447930884
47281,24069,808344865868283904
0,6961,808134635716833280
9701,2525,808106460588765185
14015,4098,808001312164028416
16236,4288,807621403335917568
107015,56625,807106840509214720
0,8521,807059379405148160
14514,4418,807010152071229440
75639,37911,806629075125202948
0,6426,806620845233815552
5370,2230,806576416489959424
11363,2752,806542213899489280
0,13616,806242860592926720
7145,1388,806219024703037440
0,6238,805958939288408065
9178,2209,805932879469572096
7335,2132,805826884734976000
0,9374,805823200554876929
6368,1905,805520635690676224
9773,2929,805487436403003392
8680,1972,805207613751304193
15326,4480,804738756058218496
6886,2355,804475857670639616
0,3712,804413760345620481
49774,18876,804026241225523202
